date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,VZ,WBA,WMT,CASH
2019-01-02,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655
2019-01-03,0.0,0.024045443162322044,0.0,0.18737410008907318,0.0,0.0,0.0,0.10741227865219116,0.00588991167023778,0.0,0.13298159837722778,0.0,0.08203694224357605,0.0,0.019762257114052773,0.0,0.00896493624895811,0.0,0.0,0.0,0.04538201540708542,0.0,0.009379945695400238,0.0,0.0,0.0,0.05150749161839485,0.0,0.325263112783432
2019-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07415515184402466,0.0,0.0,0.0,0.05362706258893013,0.0,0.0,0.10212603211402893,0.0,0.0,0.0,0.0,0.015451721847057343,0.02989535592496395,0.027664797380566597,0.05338750779628754,0.07598134130239487,0.045411888509988785,0.0,0.0,0.5222991108894348
2019-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07687407732009888,0.0,0.0,0.0,0.07348959147930145,0.0,0.0,0.10088755935430527,0.0,0.0,0.0,0.0,0.01754404790699482,0.022485118359327316,0.0,0.06327232718467712,0.10684558749198914,0.04536832869052887,0.0,0.0,0.4932333528995514
2019-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07523205876350403,0.0,0.0,0.0,0.07619830965995789,0.0,0.0,0.09520110487937927,0.0,0.0,0.0,0.0,0.015039967373013496,0.025184322148561478,0.0,0.06513909250497818,0.1097806841135025,0.04506750404834747,0.0,0.0,0.49315693974494934
2019-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0716281458735466,0.0,0.0,0.0,0.07150760293006897,0.0,0.0,0.0881073847413063,0.0,0.0,0.0,0.0,0.010145455598831177,0.031855031847953796,0.0,0.06943617761135101,0.10887458175420761,0.04450607672333717,0.0,0.0,0.5039395093917847
2019-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07094554603099823,0.0,0.0,0.0,0.07736259698867798,0.0,0.0,0.08953332155942917,0.0,0.0,0.0,0.0,0.008253762498497963,0.02920430153608322,0.0,0.0716961920261383,0.11958525329828262,0.03942912071943283,0.0,0.0,0.49398988485336304
2019-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07118456065654755,0.0,0.0,0.0,0.07161819934844971,0.0,0.0,0.08884897828102112,0.0,0.0,0.0,0.0,0.009254052303731441,0.0316571369767189,0.0,0.07313239574432373,0.11666171252727509,0.037508316338062286,0.0,0.0,0.5001346468925476
2019-01-14,0.0,0.0,0.0,0.0,0.00525607168674469,0.0,0.0,0.0,0.07117044180631638,0.0,0.0,0.0,0.08064352720975876,0.0,0.0,0.09166079759597778,0.0,0.0,0.0,0.0,0.007481023669242859,0.02407287247478962,0.0,0.07905915379524231,0.13668705523014069,0.03495382145047188,0.0,0.0,0.4690152406692505
2019-01-15,0.0,0.0,0.0,0.0,0.006048450246453285,0.0,0.0,0.0,0.07069312781095505,0.0,0.0,0.0,0.07719411700963974,0.0,0.0,0.09139801561832428,0.0,0.0,0.0,0.0,0.007898337207734585,0.02468549646437168,0.0,0.08060646802186966,0.1353219449520111,0.03391885384917259,0.0,0.0,0.47223517298698425
