,date,open,high,low,close,volume,tic,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,turbulence
0,2007-12-31,66.38999938964844,66.38999938964844,64.9000015258789,36.567996978759766,138400,EZA,0,0.0,37.45032979266612,36.146601664853414,100.0,66.66666666666667,100.0,36.567996978759766,36.567996978759766,0.0
1,2007-12-31,46.869998931884766,46.869998931884766,46.439998626708984,31.2430362701416,7800,IEUS,0,0.0,37.45032979266612,36.146601664853414,100.0,66.66666666666667,100.0,31.2430362701416,31.2430362701416,0.0
2,2007-12-31,3.1253130435943604,3.1621880531311035,3.0924999713897705,3.066084146499634,74499200,QLD,0,0.0,37.45032979266612,36.146601664853414,100.0,66.66666666666667,100.0,3.066084146499634,3.066084146499634,0.0
3,2008-01-02,66.80500030517578,67.4000015258789,65.2300033569336,37.028934478759766,350200,EZA,2,0.010341546474357699,37.45032979266612,36.146601664853414,100.0,66.66666666666667,100.0,36.798465728759766,36.798465728759766,0.0
4,2008-01-02,46.869998931884766,46.869998931884766,46.540000915527344,31.156007766723633,2300,IEUS,2,-0.0019525625766831922,31.322598908279343,31.076445128585892,0.0,66.66666666666667,100.0,31.199522018432617,31.199522018432617,0.0
5,2008-01-02,3.106250047683716,3.125,2.963124990463257,2.968125820159912,237414400,QLD,2,-0.0021977829627499723,3.155638976986777,2.878570989672769,0.0,-66.666666666667,100.0,3.017104983329773,3.017104983329773,0.0
6,2008-01-03,66.07499694824219,67.22000122070312,66.07499694824219,37.3746223449707,210000,EZA,3,0.02389694291553468,37.79988310150823,36.1811527668186,100.0,82.86722308783914,100.0,36.990517934163414,36.990517934163414,0.0
7,2008-01-03,46.310001373291016,46.40999984741211,46.2400016784668,30.955184936523438,3700,IEUS,3,-0.008715456228582497,31.41333006821849,30.822822580707292,0.0,-100.00000000000001,100.0,31.11807632446289,31.11807632446289,0.0
8,2008-01-03,2.9953129291534424,3.036250114440918,2.9646880626678467,2.9851205348968506,165337600,QLD,3,-0.0022734066384479945,3.111132756357322,2.9017542446802755,15.21627275853622,-67.57043224384162,100.0,3.006443500518799,3.006443500518799,0.0
9,2008-01-04,66.49500274658203,66.49500274658203,64.19499969482422,36.36845016479492,450000,EZA,4,-0.006850913781825341,37.74257080130951,35.927431182333066,43.18806016716557,-86.36435402381801,36.04041533787958,36.83500099182129,36.83500099182129,0.0
10,2008-01-04,45.810001373291016,45.810001373291016,45.36000061035156,30.366065979003906,3500,IEUS,4,-0.03284767471155092,31.71978006018575,30.140367416010537,0.0,-133.33333333333263,100.0,30.930073738098145,30.930073738098145,0.0
11,2008-01-04,2.9203128814697266,2.924062967300415,2.73593807220459,2.7267816066741943,310201600,QLD,4,-0.011579314951108977,3.2289614982280437,2.6440945558872517,4.484863590534715,-133.33333333333334,100.0,2.9365280270576477,2.9365280270576477,0.0
12,2008-01-07,64.63999938964844,65.25,63.97999954223633,36.25040054321289,349000,EZA,0,-0.028112076339702696,37.66209804544573,35.774063758753485,40.40219478138242,-109.97279657482822,40.9506090452699,36.71808090209961,36.71808090209961,0.0
13,2008-01-07,44.86000061035156,44.86000061035156,44.65999984741211,29.89745330810547,9400,IEUS,0,-0.06391641168974616,31.872797675073528,29.574301629125692,0.0,-122.41426966241508,100.0,30.72354965209961,30.72354965209961,0.0
14,2008-01-07,2.7590630054473877,2.7771880626678467,2.6440629959106445,2.6915533542633057,424499200,QLD,0,-0.017794045845423767,3.222418257210701,2.5526479277868575,4.079045399040538,-105.17163707058728,100.0,2.887533092498779,2.887533092498779,0.0
