gender,age,married,education,value_main_house,future_expenses,%_spend_future_win,risk,tot_amm_year_retirement_plans,tot_value_retirement_plans,tot_income_month,tot_loans_rest,tot_amm_acc,port_inv_val,ann_inv_income,monthly_expenses
1.0,58.0,2.0,8.0,60.0,2.0,50.0,4.0,0.36,15.0,1.303,0.0,15.0,0.0,0.0,1.155
1.0,68.0,2.0,8.0,600.0,3.0,50.0,4.0,0.36,15.0,2.6,0.0,100.0,165.597,0.0,2.018
1.0,61.0,2.0,11.0,210.354,2.0,50.0,4.0,0.36,15.0,0.792,12.0,6.0,0.0,0.0,2.169
2.0,48.0,1.0,13.0,220.0,3.0,50.0,4.0,0.36,15.0,3.4,165.531,15.0,0.0,0.0,1.528
1.0,65.0,2.0,6.0,360.0,3.0,0.0,3.0,0.0,100.0,2.6,0.0,150.0,2500.0,140.0,4.0
1.0,45.0,2.0,8.0,120.0,1.0,60.0,3.0,0.36,15.0,1.866,102.0,3.0,0.0,0.0,2.8
2.0,43.0,2.0,4.0,61.543,3.0,0.0,3.0,0.36,15.0,0.4,61.912,0.0,0.0,0.0,1.204
1.0,77.0,6.0,6.0,103.658,1.0,0.0,4.0,0.36,15.0,2.0,0.0,6.01,0.0,0.0,2.13
2.0,85.0,6.0,1.0,0.0,3.0,100.0,4.0,0.36,15.0,0.62,0.0,0.1,0.0,0.0,0.65
1.0,73.0,2.0,6.0,150.0,3.0,40.0,3.0,0.36,15.0,1.079,0.0,3.122,0.0,0.0,0.85
2.0,70.0,6.0,4.0,0.0,1.0,0.0,4.0,0.36,15.0,1.2,0.0,15.0,0.006,0.0,1.206
1.0,85.0,2.0,13.0,900.0,3.0,50.0,4.0,0.36,15.0,4.1,0.0,210.0,4.0,0.14,1.7
1.0,67.0,2.0,8.0,180.304,1.0,65.0,4.0,0.36,15.0,1.6,0.0,70.0,12.0,0.2,0.75
2.0,42.0,2.0,2.0,50.0,1.0,0.0,4.0,0.36,15.0,0.528,8.2,8.0,0.0,0.0,1.255
2.0,33.0,1.0,4.0,100.0,3.0,0.0,4.0,0.36,15.0,0.529,72.0,0.4,0.0,0.0,1.187
2.0,62.0,5.0,6.0,0.0,1.0,50.0,4.0,0.36,15.0,0.0,0.0,0.12,0.0,0.0,0.46
1.0,85.0,2.0,3.0,300.0,3.0,100.0,4.0,0.36,15.0,1.98,3.5,40.0,325.289,0.301,1.75
1.0,72.0,3.0,4.0,200.0,1.0,90.0,4.0,0.36,15.0,0.9,3.156,35.508,0.0,0.0,0.785
1.0,80.0,2.0,11.0,180.304,1.0,100.0,4.0,0.36,15.0,0.902,0.0,50.0,6.01,0.002,0.889
1.0,81.0,2.0,2.0,31.397,3.0,100.0,4.0,0.36,15.0,0.61,0.0,2.0,0.0,0.0,0.295
1.0,73.0,2.0,10.0,183.874,3.0,50.0,3.0,0.36,15.0,1.327,0.0,0.147,0.0,0.0,1.1
1.0,85.0,6.0,2.0,0.0,1.0,0.0,4.0,0.36,15.0,1.623,0.0,3.0,0.0,0.0,0.728
1.0,46.0,2.0,8.0,210.0,3.0,50.0,4.0,0.36,15.0,2.0,1.5,60.0,0.0,0.0,1.2
1.0,52.0,2.0,2.0,100.0,1.0,50.0,4.0,0.36,15.0,2.3,6.0,2.3,0.0,0.0,1.575
2.0,66.0,6.0,3.0,60.0,3.0,100.0,4.0,0.36,15.0,0.6,0.0,5.0,0.0,0.0,0.5
2.0,69.0,4.0,12.0,600.0,1.0,100.0,4.0,0.36,15.0,3.1,0.0,6.0,190.0,1.0,3.5
2.0,51.0,2.0,11.0,0.0,1.0,70.0,3.0,1.5,15.0,2.5,0.0,10.0,0.0,0.0,1.8
1.0,60.0,2.0,10.0,300.0,3.0,50.0,3.0,0.0,17.0,9.278,15.0,20.0,70.0,4.0,1.865
1.0,61.0,2.0,10.0,140.0,3.0,80.0,4.0,2.04,40.0,1.96,0.0,203.871,4.5,0.15,2.437
1.0,52.0,2.0,4.0,246.415,1.0,0.0,4.0,0.0,0.2,1.3,173.809,2.293,0.0,0.0,2.331
1.0,85.0,6.0,14.0,500.0,1.0,0.0,4.0,0.36,15.0,1.094,0.0,6.0,10.124,0.006,1.0
1.0,36.0,1.0,11.0,220.0,1.0,70.0,4.0,0.36,15.0,1.5,218.0,25.0,0.006,0.0,1.147
1.0,75.0,2.0,2.0,68.975,3.0,100.0,4.0,0.36,15.0,0.605,4.7,3.5,0.0,0.0,0.955
1.0,46.0,2.0,11.0,200.0,1.0,50.0,4.0,0.0,0.85,2.2,21.0,2.0,0.0,0.0,2.155
1.0,57.0,1.0,6.0,120.0,3.0,25.0,4.0,0.36,15.0,1.2,0.0,6.311,0.0,0.0,1.4
2.0,55.0,2.0,8.0,230.0,1.0,20.0,4.0,1.5,15.0,2.3,0.0,80.0,0.0,0.0,1.095
2.0,46.0,2.0,6.0,0.0,2.0,0.0,4.0,0.36,15.0,0.0,2.5,0.5,0.0,0.0,1.65
2.0,46.0,5.0,4.0,115.0,1.0,50.0,4.0,0.36,15.0,0.0,12.8,6.0,0.0,0.0,0.65
1.0,69.0,6.0,2.0,180.304,3.0,0.0,4.0,0.0,2.5,2.573,60.0,0.2,0.0,0.0,1.8
2.0,49.0,2.0,6.0,0.0,2.0,0.0,4.0,0.36,15.0,0.715,15.14,0.2,0.0,0.0,2.301
1.0,65.0,1.0,2.0,0.0,1.0,30.0,3.0,0.36,15.0,0.368,0.0,10.0,54.003,0.0,0.09
1.0,40.0,2.0,11.0,210.0,3.0,0.0,4.0,0.3,2.25,3.8,85.0,22.0,0.0,0.0,1.046
1.0,60.0,1.0,11.0,200.0,3.0,10.0,2.0,1.6666666666666667,60.0,4.5,100.0,15.0,960.597,53.0,2.92
1.0,56.0,2.0,2.0,100.0,2.0,50.0,4.0,0.36,15.0,2.218,90.5,0.2,0.0,0.0,3.775
1.0,68.0,2.0,2.0,480.81,3.0,0.0,4.0,0.36,15.0,1.58,0.0,0.1,0.0,0.0,1.5
1.0,64.0,2.0,6.0,210.0,1.0,30.0,4.0,0.36,15.0,1.34,215.0,0.0,0.0,0.0,1.688
