Date,ABBN.SW,CFR.SW,CSGN.SW,GEBN.SW,GIVN.SW,HOLN.SW,LOGN.SW,LONN.SW,NESN.SW,NOVN.SW,PGHN.SW,ROG.SW,SCMN.SW,SGSN.SW,SIKA.SW,SLHN.SW,SREN.SW,UBSG.SW,ZURN.SW
2018-01-03,21.56453514099121,81.97614288330078,15.166568756103516,381.3677978515625,2057.434326171875,43.623451232910156,31.687807083129883,260.0481872558594,73.12653350830078,60.875919342041016,577.3916625976562,214.81454467773438,418.0366516113281,2186.714599609375,123.74148559570312,267.4093322753906,66.20170593261719,13.134084701538086,223.91517639160156
2018-01-04,21.801149368286133,82.06793212890625,15.391003608703613,383.7618713378906,2070.007080078125,44.61984634399414,31.621559143066406,259.277099609375,73.0563735961914,60.55513381958008,586.90673828125,215.24227905273438,419.4825744628906,2203.804931640625,125.308837890625,270.2020568847656,66.65106964111328,13.241564750671387,225.27450561523438
2018-01-05,21.964332580566406,82.19645690917969,15.226994514465332,387.2200012207031,2089.76416015625,45.1491813659668,32.227298736572266,261.1083984375,73.4422607421875,61.29877853393555,596.4218139648438,215.7555694580078,421.5711364746094,2223.458984375,126.4843521118164,272.0639953613281,66.86851501464844,13.1555814743042,226.6338653564453
2018-01-08,21.972490310668945,82.38005828857422,15.343527793884277,384.5599060058594,2043.963623046875,45.38270950317383,32.359798431396484,260.4337158203125,73.35456085205078,61.19670486450195,592.5292358398438,213.44573974609375,423.01708984375,2222.6044921875,127.42475128173828,271.4433288574219,66.17271423339844,13.25589370727539,227.54006958007812
2018-01-09,22.08671760559082,82.4902114868164,15.382369995117188,384.91455078125,2040.371337890625,45.95875930786133,32.55855941772461,261.20477294921875,74.0210952758789,61.94034957885742,598.15185546875,213.702392578125,426.23028564453125,2230.294921875,130.16757202148438,272.6845703125,66.65106964111328,13.31321907043457,233.1285400390625
2018-01-10,21.93169403076172,81.79253387451172,15.408266067504883,382.7865295410156,2017.920166015625,45.53840255737305,32.15158462524414,256.867431640625,72.96866607666016,61.09463882446289,597.7192993164062,211.47811889648438,418.3579406738281,2209.78662109375,129.61904907226562,273.8482360839844,66.36116027832031,13.320382118225098,233.05299377441406
2018-01-11,21.956172943115234,82.25153350830078,15.684492111206055,382.3431701660156,2026.900634765625,46.114437103271484,32.17997741699219,254.7469482421875,72.26704406738281,60.74469757080078,599.0167846679688,209.1682891845703,417.2333679199219,2200.386962890625,129.61904907226562,274.7792053222656,66.6945571899414,13.399201393127441,235.39410400390625
2018-01-12,22.13567352294922,82.01285552978516,15.788082122802734,381.2790832519531,2038.575439453125,45.84978103637695,32.757320404052734,254.9397735595703,72.33721160888672,61.15296173095703,605.9368286132812,210.28042602539062,418.0366516113281,2200.386962890625,130.16757202148438,276.1755676269531,67.37586212158203,13.538926124572754,236.82901000976562
2018-01-15,21.98065185546875,81.60893249511719,15.870081901550293,380.2150573730469,2030.49267578125,45.989891052246094,32.86143112182617,254.84335327148438,72.70556640625,60.90509033203125,616.3169555664062,209.0827178955078,416.5906982421875,2212.350341796875,130.16757202148438,275.3998107910156,67.37586212158203,13.546091079711914,236.451416015625
2018-01-16,22.11119842529297,81.29682159423828,15.736285209655762,376.40228271484375,2033.18701171875,45.61624526977539,32.709999084472656,257.73492431640625,72.45999145507812,60.91967010498047,618.4794921875,201.89657592773438,416.9119873046875,2224.313720703125,128.99209594726562,275.8652648925781,67.36135864257812,13.470854759216309,236.52691650390625
2018-01-17,21.83378791809082,81.75581359863281,15.438481330871582,376.934326171875,2039.473388671875,45.694091796875,33.01287078857422,260.0481872558594,72.72309875488281,60.68637466430664,621.074462890625,199.6295166015625,416.4300842285156,2231.14990234375,130.08921813964844,278.3477478027344,67.88320922851562,13.363375663757324,239.01904296875
2018-01-18,21.882740020751953,81.38863372802734,15.658594131469727,401.58447265625,2036.779052734375,46.08330535888672,33.221092224121094,255.71080017089844,72.38983154296875,60.4384880065918,624.534423828125,199.50119018554688,415.7873840332031,2225.168212890625,130.16757202148438,278.19256591796875,68.56449127197266,13.578335762023926,240.2273406982422
2018-01-19,22.013286590576172,82.71051788330078,15.77944564819336,410.5400695800781,2061.0263671875,46.37910842895508,34.00666427612305,260.4337158203125,72.16179656982422,60.788448333740234,632.319580078125,200.61334228515625,417.71533203125,2251.657958984375,130.71615600585938,278.3477478027344,68.4630355834961,13.847037315368652,239.8497772216797
2018-01-22,21.948013305664062,81.42534637451172,15.947774887084961,413.2001647949219,2049.35205078125,46.4725227355957,34.19595718383789,261.20477294921875,72.40736389160156,60.84675979614258,630.1571044921875,201.72547912597656,420.4465637207031,2245.676513671875,130.7945098876953,279.5889892578125,68.49201965332031,13.900775909423828,240.0007781982422
2018-01-23,22.029605865478516,82.06793212890625,15.943455696105957,411.3381042480469,2039.473388671875,46.425811767578125,36.940711975097656,259.56622314453125,72.91605377197266,60.94883346557617,624.9669799804688,202.66650390625,421.41046142578125,2170.478759765625,130.4027099609375,277.88226318359375,68.53550720214844,14.033334732055664,238.49038696289062
2018-01-24,21.956172943115234,81.42534637451172,15.995247840881348,405.7519226074219,2027.798828125,45.61624526977539,37.887184143066406,258.313232421875,72.35474395751953,62.62565231323242,630.1571044921875,200.61334228515625,418.0366516113281,2173.042236328125,129.30555725097656,277.9598388671875,68.78193664550781,13.922272682189941,238.8679962158203
