Date,Adj Close
2018-01-03,9478.919921875
2018-01-04,9509.2802734375
2018-01-05,9556.98046875
2018-01-08,9541.73046875
2018-01-09,9611.6103515625
2018-01-10,9524.9599609375
2018-01-11,9503.849609375
2018-01-12,9546.6103515625
2018-01-15,9537.2802734375
2018-01-16,9464.0498046875
2018-01-17,9440.009765625
2018-01-18,9452.349609375
2018-01-19,9509.76953125
2018-01-22,9529.1298828125
2018-01-23,9551.580078125
2018-01-24,9547.5703125
2018-01-25,9482.9599609375
2018-01-26,9515.5595703125
2018-01-29,9457.26953125
2018-01-30,9433.33984375
2018-01-31,9335.400390625
2018-02-01,9290.919921875
2018-02-02,9220.6904296875
2018-02-05,9100.3896484375
2018-02-06,8836.7099609375
2018-02-07,8975.009765625
2018-02-08,8763.1103515625
2018-02-09,8682.0
2018-02-12,8822.1796875
2018-02-13,8752.6396484375
2018-02-14,8899.099609375
2018-02-15,8917.7998046875
2018-02-16,8986.7197265625
2018-02-19,8908.650390625
2018-02-20,8981.3896484375
2018-02-21,8988.990234375
2018-02-22,8967.4296875
2018-02-23,8948.1904296875
2018-02-26,9026.1103515625
2018-02-27,8992.51953125
2018-02-28,8906.3798828125
2018-03-01,8792.3798828125
2018-03-02,8628.509765625
2018-03-05,8808.3798828125
2018-03-06,8765.8798828125
2018-03-07,8784.83984375
2018-03-08,8896.419921875
2018-03-09,8931.849609375
2018-03-12,8970.740234375
2018-03-13,8880.919921875
2018-03-14,8869.330078125
2018-03-15,8878.98046875
2018-03-16,8882.5302734375
2018-03-19,8811.330078125
2018-03-20,8847.2900390625
2018-03-21,8783.7001953125
2018-03-22,8637.8701171875
2018-03-23,8569.080078125
2018-03-26,8509.2900390625
2018-03-27,8638.419921875
2018-03-28,8756.1201171875
2018-03-29,8740.9697265625
2018-04-03,8630.9296875
2018-04-04,8553.6904296875
2018-04-05,8742.599609375
2018-04-06,8671.0400390625
2018-04-09,8687.080078125
2018-04-10,8755.5703125
2018-04-11,8708.4404296875
2018-04-12,8774.759765625
2018-04-13,8776.169921875
2018-04-16,8726.5400390625
2018-04-17,8820.0400390625
2018-04-18,8831.8798828125
2018-04-19,8833.1796875
2018-04-20,8807.7998046875
2018-04-23,8806.6298828125
2018-04-24,8796.91015625
2018-04-25,8740.9599609375
2018-04-26,8835.0302734375
2018-04-27,8843.01953125
2018-04-30,8886.259765625
2018-05-02,8896.2802734375
2018-05-03,8842.2900390625
2018-05-04,8903.830078125
2018-05-07,8978.650390625
2018-05-08,8944.900390625
2018-05-09,8984.099609375
2018-05-11,8993.509765625
2018-05-14,9000.8896484375
2018-05-15,8994.2197265625
2018-05-16,8973.8798828125
2018-05-17,8988.330078125
2018-05-18,8940.4599609375
2018-05-22,8936.0703125
2018-05-23,8794.9404296875
2018-05-24,8770.9404296875
2018-05-25,8759.080078125
2018-05-28,8775.4501953125
2018-05-29,8637.2001953125
2018-05-30,8578.6796875
2018-05-31,8456.9501953125
2018-06-01,8618.5400390625
2018-06-04,8634.419921875
2018-06-05,8538.3095703125
2018-06-06,8544.990234375
2018-06-07,8548.330078125
2018-06-08,8512.0595703125
2018-06-11,8623.5400390625
2018-06-12,8640.7998046875
2018-06-13,8634.6103515625
2018-06-14,8690.830078125
2018-06-15,8642.599609375
2018-06-18,8519.5703125
2018-06-19,8463.41015625
2018-06-20,8557.509765625
2018-06-21,8459.9296875
2018-06-22,8616.5595703125
2018-06-25,8458.75
2018-06-26,8477.98046875
