Date,ABBN.SW,CFR.SW,CSGN.SW,GEBN.SW,GIVN.SW,HOLN.SW,LOGN.SW,LONN.SW,NESN.SW,NOVN.SW,PGHN.SW,ROG.SW,SCMN.SW,SGSN.SW,SIKA.SW,SLHN.SW,SREN.SW,UBSG.SW,ZURN.SW
2004-12-31,3.536353826522827,19.473892211914062,25.456619262695312,53.73257827758789,490.564453125,36.04065704345703,12.995317459106445,43.62460708618164,17.745361328125,25.972030639648438,,76.12882995605469,209.5231170654297,493.78302001953125,8.416529655456543,83.6727523803711,35.705665588378906,28.97001838684082,74.31212615966797
2005-01-03,3.6254589557647705,19.654483795166016,26.042434692382812,55.540889739990234,492.2018127441406,36.56678771972656,13.088809967041016,43.99950408935547,17.954133987426758,26.28977394104004,,76.47779083251953,211.16000366210938,499.6727294921875,8.490575790405273,85.18949890136719,36.322044372558594,29.50171661376953,75.87989044189453
2005-01-04,3.6867189407348633,19.500131607055664,26.255460739135742,56.897117614746094,494.166748046875,37.22446823120117,13.182300567626953,43.965423583984375,17.969043731689453,26.17645835876465,,76.59410858154297,210.92623901367188,515.4810791015625,8.44121265411377,87.51513671875,36.278018951416016,29.532102584838867,75.95828247070312
2005-01-05,3.681150436401367,19.062543869018555,26.0956974029541,55.540889739990234,497.4414367675781,37.56645584106445,12.724194526672363,43.62460708618164,17.834835052490234,25.858707427978516,,76.1869888305664,209.99082946777344,504.632080078125,8.453550338745117,87.51513671875,36.278018951416016,29.182703018188477,75.40955352783203
2005-01-06,3.697857141494751,19.319541931152344,25.962554931640625,55.540889739990234,499.7339782714844,37.82952880859375,12.39697265625,43.522361755371094,17.92430877685547,25.904497146606445,,76.2451400756836,210.80923461914062,504.9420471191406,8.712713241577148,88.3746109008789,37.09251403808594,29.273845672607422,75.95828247070312
2005-01-07,3.7201337814331055,19.26860237121582,25.909297943115234,54.63673400878906,503.6636962890625,37.8558349609375,12.153895378112793,43.692771911621094,17.954133987426758,25.745391845703125,,76.30331420898438,211.2769775390625,509.9015808105469,8.879314422607422,88.27351379394531,36.78432846069336,29.091550827026367,75.8406982421875
2005-01-10,3.764686107635498,19.345779418945312,25.776151657104492,54.63673400878906,498.0964660644531,37.882137298583984,12.153895378112793,43.18154525756836,17.939220428466797,25.654743194580078,,76.1869888305664,210.92623901367188,505.56207275390625,8.916337013244629,88.7285385131836,37.09251403808594,29.121936798095703,75.95828247070312
2005-01-11,3.747978687286377,19.345779418945312,25.722890853881836,54.63673400878906,496.45916748046875,37.46122741699219,12.153895378112793,43.24970626831055,18.058513641357422,25.677858352661133,,74.44225311279297,210.57540893554688,507.1119384765625,8.7682466506958,88.3746109008789,37.13653564453125,28.939640045166016,74.86082458496094
2005-01-12,3.7424089908599854,19.037073135375977,25.216955184936523,52.76384735107422,489.909423828125,36.48786926269531,12.247386932373047,43.55644226074219,18.371665954589844,25.2921199798584,,73.7443618774414,210.34161376953125,496.5728759765625,8.823779106140137,86.95899963378906,36.60822296142578,28.544658660888672,73.68501281738281
2005-01-13,3.8036692142486572,19.114253997802734,24.950674057006836,53.92632293701172,490.8919982910156,36.59309387207031,12.368926048278809,46.14665222167969,18.4014949798584,25.518762588500977,,73.86067962646484,210.69236755371094,505.56207275390625,8.762076377868652,85.94786071777344,36.76231384277344,28.407941818237305,73.80259704589844
2005-01-14,3.8593592643737793,19.39671516418457,24.977304458618164,56.703372955322266,500.7162780761719,37.750614166259766,12.696146011352539,46.2489013671875,18.4014949798584,25.858707427978516,,74.26776885986328,211.0430908203125,504.3221740722656,8.885485649108887,85.18949890136719,37.00445556640625,28.68138313293457,74.58647155761719
2005-01-17,3.8203768730163574,19.139720916748047,25.376728057861328,56.83253860473633,501.3713684082031,37.93475341796875,12.808333396911621,46.9646110534668,18.416406631469727,26.040475845336914,,74.38410186767578,211.0430908203125,503.3921203613281,9.119962692260742,86.2006607055664,37.11452865600586,29.07636070251465,75.09601593017578
2005-01-18,3.781393051147461,19.037073135375977,25.42998695373535,56.83253860473633,500.3888854980469,37.25076675415039,12.808333396911621,46.82828903198242,18.267284393310547,25.94982147216797,,74.03514099121094,210.57540893554688,512.6912841796875,9.070599555969238,86.95899963378906,36.674259185791016,29.07636070251465,74.70407104492188
2005-01-19,3.770254373550415,19.037073135375977,25.350095748901367,57.736698150634766,499.0789794921875,37.145545959472656,12.71484375,47.4417610168457,18.25237274169922,25.88137435913086,,74.38410186767578,211.16000366210938,509.2816467285156,9.033577919006348,85.84674835205078,36.322044372558594,29.3649959564209,76.58538055419922
2005-01-20,3.647735357284546,19.037073135375977,25.350095748901367,57.736698150634766,500.061279296875,38.64503860473633,12.71484375,47.4417610168457,18.162900924682617,25.88137435913086,,74.38410186767578,211.16000366210938,509.2816467285156,9.070599555969238,85.84674835205078,36.101905822753906,29.3649959564209,76.58538055419922
2005-01-21,3.64216685295105,18.831012725830078,25.296844482421875,56.83253860473633,495.14923095703125,38.69765853881836,12.929874420166016,47.30543518066406,18.222551345825195,25.836498260498047,,74.15145111083984,210.69236755371094,508.3517150878906,9.181669235229492,84.58279418945312,36.322044372558594,29.33461570739746,76.42860412597656
2005-01-24,3.6365976333618164,18.85647964477539,25.296844482421875,56.83253860473633,491.87432861328125,39.25010681152344,12.929874420166016,47.30543518066406,18.416406631469727,25.836498260498047,,74.15145111083984,210.69236755371094,502.7722473144531,9.194008827209473,84.58279418945312,35.92580032348633,29.33461570739746,76.42860412597656
