ACS.MC,ACX.MC,AENA.MC,ALM.MC,AMS.MC,ANA.MC,BBVA.MC,BKT.MC,CABK.MC,CIE.MC,CLNX.MC,COL.MC,ELE.MC,ENG.MC,FDR.MC,FER.MC,GRF.MC,IAG.MC,IBE.MC,IDR.MC,ITX.MC,MAP.MC,MEL.MC,MRL.MC,MTS.MC,NTGY.MC,PHM.MC,REE.MC,REP.MC,ROVI.MC,SAB.MC,SAN.MC,SGRE.MC,SLR.MC,TEF.MC
6.912472724914551,,,,,,,2.6803035736083984,,1.2892369031906128,,,,,,4.287256717681885,,,2.0765812397003174,,,0.8454376459121704,,,,7.299572944641113,61.09660720825195,,,,1.4408944845199585,2.776601791381836,7.367120265960693,,
6.986536979675293,5.670348167419434,,,,35.87169647216797,5.430667400360107,2.6803035736083984,,1.2959688901901245,,191.59596252441406,2.698477029800415,4.986917972564697,,4.3350114822387695,,,2.089690685272217,8.29098892211914,0.9744322299957275,0.8571364283561707,6.29027795791626,,,7.273914337158203,62.52022171020508,1.822280764579773,6.9925947189331055,,1.4492723941802979,2.797889471054077,7.531627178192139,,5.159266471862793
7.1552348136901855,5.689457416534424,,,,36.44630432128906,5.401715278625488,2.668675184249878,,1.2847483158111572,,191.59596252441406,2.6858372688293457,4.945702075958252,,4.313786506652832,,,2.1021227836608887,8.304033279418945,0.955308198928833,0.8618157505989075,6.393964767456055,,,7.286741733551025,63.70656204223633,1.8410564661026,6.978027820587158,,1.4576491117477417,2.797889471054077,7.7032904624938965,,5.166630744934082
7.048252582550049,5.560479164123535,,,,35.98114776611328,5.3727617263793945,2.666624069213867,,1.2847483158111572,,189.87973022460938,2.6494998931884766,4.826181411743164,,4.308480739593506,,,2.079519271850586,8.219234466552734,0.9419655799865723,0.8493369221687317,6.376683712005615,,,7.273914337158203,63.232025146484375,1.822280764579773,6.865126132965088,,1.4492723941802979,2.758355140686035,7.617458820343018,,5.122440338134766
7.048252582550049,,,,,,,2.666624069213867,,1.2847483158111572,,,,,,4.308480739593506,,,2.079519271850586,,,0.8345186114311218,,,,7.273914337158203,63.232025146484375,,,,1.4492723941802979,2.758355140686035,7.617458820343018,,
7.118200778961182,5.45538330078125,,,,35.98114776611328,5.426529884338379,2.684722900390625,,1.2903591394424438,,189.099609375,2.6447601318359375,4.813817024230957,,4.526027202606201,,,2.0919508934020996,8.15400218963623,0.9326264262199402,0.8446574211120605,6.497649669647217,,,7.2193922996521,63.58793258666992,1.8134459257125854,6.876051425933838,,1.4325172901153564,2.7461910247802734,7.674679756164551,,5.1519012451171875
7.266327381134033,5.484044551849365,,,,36.336856842041016,5.439034938812256,2.656493663787842,,1.2903591394424438,,190.81588745117188,2.660559892654419,4.8220601081848145,,4.642759799957275,,,2.0817794799804688,8.088769912719727,0.9366285800933838,0.8508973717689514,6.523571014404297,,,7.235428333282471,62.63885498046875,1.8035063743591309,6.883335113525391,,1.4325172901153564,2.740107774734497,7.794678211212158,,5.111392021179199
7.241638660430908,5.479266166687012,,,,36.117958068847656,5.376516819000244,2.6482319831848145,,1.2903591394424438,,192.5321044921875,2.658979892730713,4.830303192138672,,4.51010799407959,,,2.0829098224639893,8.03658390045166,0.9433002471923828,0.8493369221687317,6.566773414611816,,,7.141293525695801,62.1643180847168,1.822280764579773,6.846428394317627,,1.4408944845199585,2.7431492805480957,7.6280622482299805,,5.037740707397461
7.348617076873779,5.398059844970703,,,,35.98114776611328,5.313997745513916,2.6482319831848145,,1.2903591394424438,,206.4181365966797,2.6558194160461426,4.805296421051025,,4.563169956207275,,,2.0806493759155273,7.938736438751221,0.9468580484390259,0.8493369221687317,6.661818981170654,,,7.14778470993042,61.92705154418945,1.8090280294418335,6.946078777313232,,1.4995355606079102,2.737067699432373,7.6280622482299805,,5.0082807540893555
7.389763355255127,5.474491119384766,,,,36.2274055480957,5.347342014312744,2.6716413497924805,,1.2903591394424438,,205.48199462890625,2.676358938217163,4.871979713439941,,4.669290542602539,,,2.103253126144409,8.15400218963623,0.9606451988220215,0.8454376459121704,6.739583969116211,,,7.099093437194824,63.35065841674805,1.8145501613616943,7.005129814147949,,1.5079132318496704,2.7644379138946533,7.722237586975098,,5.045106410980225
7.443255424499512,5.421945095062256,,,,36.117958068847656,5.326504707336426,2.6792168617248535,,1.2903591394424438,,202.04949951171875,2.6795175075531006,4.855309009552002,,4.7701029777526855,,,2.113424777984619,8.401884078979492,0.9695398807525635,0.8391983509063721,6.730943202972412,,,7.186737537384033,63.35065841674805,1.8377429246902466,7.104783535003662,,1.5246678590774536,2.7644379138946533,7.686015605926514,,5.004596710205078
7.5337748527526855,5.531816005706787,,,,36.274383544921875,5.368181228637695,2.6854147911071777,,1.2959688901901245,,205.48199462890625,2.682677984237671,4.913656234741211,,4.74357271194458,,,2.1168148517608643,8.401884078979492,0.9650929570198059,0.843877911567688,6.7827863693237305,,,7.193230628967285,63.94383239746094,1.8244906663894653,7.15645170211792,,1.5246678590774536,2.8009331226348877,7.867119312286377,,5.048788070678711
7.5954909324646,5.527039527893066,,,,36.41262435913086,5.3515095710754395,2.6440999507904053,,1.2959688901901245,,207.1982421875,2.692157506942749,4.905320167541504,,4.690514087677002,,,2.108903169631958,8.408405303955078,0.9730978608131409,0.8415378332138062,6.808708190917969,,,7.186737537384033,63.70656204223633,1.8200716972351074,7.1601457595825195,,1.5246678590774536,2.794849157333374,7.917830467224121,,5.0635199546813965
